iter	Passed	Remaining
0	2	200
1	3	169
2	4	155
3	5	141
4	7	138
5	8	135
6	10	133
7	11	131
8	12	130
9	14	128
10	15	126
11	17	125
12	18	123
13	19	122
14	21	120
15	22	119
16	24	117
17	25	115
18	26	114
19	28	114
20	30	113
21	31	111
22	32	110
23	34	108
24	35	107
25	37	106
26	38	105
27	40	104
28	42	102
29	43	101
30	45	100
31	46	99
32	48	98
33	49	96
34	51	95
35	52	93
36	54	92
37	56	91
38	57	90
39	59	88
40	60	87
41	61	84
42	62	83
43	64	81
44	65	80
45	67	78
46	68	77
47	70	76
48	72	74
49	73	73
50	75	72
51	76	70
52	78	69
53	79	67
54	80	65
55	82	64
56	83	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	55
62	92	54
63	94	53
64	95	51
65	97	50
66	99	48
67	100	47
68	102	45
69	103	44
70	105	43
71	106	41
72	108	40
73	109	38
74	111	37
75	113	35
76	114	34
77	115	32
78	117	31
79	118	29
80	120	28
81	123	27
82	125	25
83	126	24
84	128	22
85	130	21
86	131	19
87	133	18
88	134	16
89	136	15
90	138	13
91	139	12
92	141	10
93	142	9
94	144	7
95	145	6
96	147	4
97	148	3
98	152	1
99	153	0
